Date : 2025-11-19 09:40:42
Directory : c:\Users\Humam\OneDrive\Documents\Classified-db-v2
Total : 363 files,  25776 codes, 2091 comments, 2969 blanks, all 30836 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\query_params_enumnation.cs                                                                                                   | C#         |        250 |         29 |         47 |        326 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\rateLimiter.md                                                                                                               | Markdown   |         33 |          0 |          7 |         40 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\takepoints.md                                                                                                                | Markdown   |         11 |          0 |         10 |         21 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\SQL\Inserting-data\category_generator.py                                                                                           | Python     |        363 |         39 |        112 |        514 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\SQL\Inserting-data\category_inserts.sql                                                                                            | MS SQL     |      1,458 |         34 |        114 |      1,606 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\SQL\Tables.sql                                                                                                                     | MS SQL     |        118 |         60 |         59 |        237 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\SQL\data-inserting-example.sql                                                                                                     | MS SQL     |         35 |          2 |         10 |         47 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\ENUM_UPDATE_STATUS.md                                                                                                      | Markdown   |         56 |          0 |         13 |         69 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\ClassifiedAds.Api.csproj                                                                             | XML        |         19 |          0 |          5 |         24 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Controllers\DynamicAdsController.cs                                                                  | C#         |        177 |         34 |         22 |        233 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Examples\AdPatch.md                                                                                  | Markdown   |         13 |          0 |          1 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Examples\AdPost.md                                                                                   | Markdown   |         14 |          0 |          1 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Examples\Miscellaneous\BookAd\BookAdPatch.md                                                         | Markdown   |         15 |          0 |          2 |         17 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Examples\Miscellaneous\BookAd\BookAdPost.md                                                          | Markdown   |         15 |          0 |          2 |         17 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Examples\Vehicles\HeavyEquipment\CraneAd\CraneAdPost.md                                              | Markdown   |         23 |          0 |          2 |         25 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Middleware\LanguageMiddleware.cs                                                                     | C#         |         33 |          0 |          8 |         41 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Program.cs                                                                                           | C#         |         66 |          9 |         20 |         95 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Properties\launchSettings.json                                                                       | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\README_API_IMPLEMENTATION.md                                                                         | Markdown   |        209 |          0 |         58 |        267 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\appsettings.Development.json                                                                         | JSON       |          8 |          0 |          1 |          9 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\appsettings.json                                                                                     | JSON       |         21 |          0 |          1 |         22 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\ClassifiedAds.Api.deps.json                                                         | JSON       |        730 |          0 |          0 |        730 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\ClassifiedAds.Api.runtimeconfig.json                                                | JSON       |         20 |          0 |          0 |         20 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\ClassifiedAds.Api.staticwebassets.endpoints.json                                    | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\ClassifiedAds.Api.staticwebassets.runtime.json                                      | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\ClassifiedAds.Api.xml                                                               | XML        |         39 |          0 |          3 |         42 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\appsettings.Development.json                                                        | JSON       |          8 |          0 |          1 |          9 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\appsettings.json                                                                    | JSON       |         21 |          0 |          1 |         22 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\ClassifiedAds.Api.csproj.nuget.dgspec.json                                                       | JSON       |        352 |          0 |          0 |        352 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\ClassifiedAds.Api.csproj.nuget.g.props                                                           | XML        |         24 |          0 |          0 |         24 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\ClassifiedAds.Api.csproj.nuget.g.targets                                                         | XML        |          8 |          0 |          0 |          8 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs                                      | C#         |          3 |          1 |          1 |          5 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\ClassifiedAds.Api.AssemblyInfo.cs                                                   | C#         |          9 |          9 |          5 |         23 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\ClassifiedAds.Api.GeneratedMSBuildEditorConfig.editorconfig                         | Properties |         21 |          0 |          1 |         22 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\ClassifiedAds.Api.GlobalUsings.g.cs                                                 | C#         |         16 |          1 |          1 |         18 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\ClassifiedAds.Api.MvcApplicationPartsAssemblyInfo.cs                                | C#         |          6 |          9 |          5 |         20 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\ClassifiedAds.Api.sourcelink.json                                                   | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\ClassifiedAds.Api.xml                                                               | XML        |         39 |          0 |          3 |         42 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\rjimswa.dswa.cache.json                                                             | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\rjsmcshtml.dswa.cache.json                                                          | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\rjsmrazor.dswa.cache.json                                                           | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\rpswa.dswa.cache.json                                                               | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\staticwebassets.build.endpoints.json                                                | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\staticwebassets.build.json                                                          | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Debug\net9.0\staticwebassets.development.json                                                    | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Release\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs                                    | C#         |          3 |          1 |          1 |          5 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Release\net9.0\ClassifiedAds.Api.AssemblyInfo.cs                                                 | C#         |          9 |         10 |          5 |         24 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Release\net9.0\ClassifiedAds.Api.GeneratedMSBuildEditorConfig.editorconfig                       | Properties |         21 |          0 |          1 |         22 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\Release\net9.0\ClassifiedAds.Api.GlobalUsings.g.cs                                               | C#         |         16 |          1 |          1 |         18 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\project.assets.json                                                                              | JSON       |      2,085 |          0 |          0 |      2,085 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\ClassifiedAds.Application.csproj                                                             | XML        |         18 |          0 |          6 |         24 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Common\EnumQueryStringHelper.cs                                                              | C#         |         96 |         22 |         19 |        137 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Common\LanguageContext.cs                                                                    | C#         |         12 |          0 |          4 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Common\README_MULTILINGUAL_QUERY-PARAMS.md                                                   | Markdown   |        179 |          0 |         51 |        230 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\AdDto.cs                                                                            | C#         |         17 |          7 |          7 |         31 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics\ComputerAdDto.cs                                                        | C#         |         16 |          1 |          4 |         21 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics\ElectronicAdDto.cs                                                      | C#         |         10 |          1 |          4 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics\HandheldDeviceAdDto.cs                                                  | C#         |         23 |          1 |          4 |         28 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics\LaptopAdDto.cs                                                          | C#         |         25 |          1 |          4 |         30 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics\TvMonitorAdDto.cs                                                       | C#         |         16 |          1 |          4 |         21 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Electronics\VideoConsoleAdDto.cs                                                    | C#         |         11 |          1 |          4 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Cv\CvAdDto.cs                                                                  | C#         |         15 |          0 |          3 |         18 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Cv\EducationDto.cs                                                             | C#         |         10 |          0 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Cv\ExperienceDto.cs                                                            | C#         |          8 |          0 |          2 |         10 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Cv\LanguageDto.cs                                                              | C#         |          7 |          0 |          3 |         10 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Service\DailyAvailabilityDto.cs                                                | C#         |         10 |          0 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Service\ServiceAdDto.cs                                                        | C#         |          7 |          0 |          3 |         10 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\Service\TimeSlotDto.cs                                                         | C#         |          6 |          0 |          2 |          8 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Jobs\VacancyAdDto.cs                                                                | C#         |         11 |          0 |          3 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\BookAdDto.cs                                                          | C#         |         10 |          1 |          3 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\ClothAdDto.cs                                                         | C#         |         11 |          1 |          4 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\EngineOilAdDto.cs                                                     | C#         |         11 |          1 |          4 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\FurnitureAdDto.cs                                                     | C#         |         12 |          1 |          4 |         17 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\PlantAdDto.cs                                                         | C#         |         10 |          1 |          4 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\ShoeAdDto.cs                                                          | C#         |         10 |          1 |          4 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\TireWheelAdDto.cs                                                     | C#         |         10 |          1 |          3 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Miscellaneous\VideoGameAdDto.cs                                                     | C#         |         10 |          1 |          4 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\RealEstate\ApartmentAdDto.cs                                                        | C#         |         13 |          1 |          4 |         18 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\RealEstate\ConstructionProjectAdDto.cs                                              | C#         |          9 |          1 |          4 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\RealEstate\HouseAdDto.cs                                                            | C#         |         13 |          1 |          4 |         18 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\RealEstate\RealEstateAdDto.cs                                                       | C#         |          8 |          1 |          3 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles\BoatAdDto.cs                                                               | C#         |          9 |          1 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles\CarAdDto.cs                                                                | C#         |         16 |          1 |          4 |         21 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles\HeavyEquipment\BulldozerAdDto.cs                                           | C#         |         10 |          1 |          3 |         14 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles\HeavyEquipment\BusAdDto.cs                                                 | C#         |          8 |          1 |          3 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles\HeavyEquipment\CraneAdDto.cs                                               | C#         |         11 |          1 |          3 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles\HeavyEquipment\ExcavatorAdDto.cs                                           | C#         |          9 |          1 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles\HeavyEquipment\HeavyEquipmentAdDto.cs                                      | C#         |          9 |          1 |          3 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles\MotorcycleAdDto.cs                                                         | C#         |         11 |          1 |          4 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles\TransportAdDto.cs                                                          | C#         |         11 |          1 |          4 |         16 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Ads\Vehicles\TruckAdDto.cs                                                              | C#         |         11 |          1 |          3 |         15 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Common\LocationAdDto.cs                                                                 | C#         |          9 |          4 |          9 |         22 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Common\PriceDto.cs                                                                      | C#         |          7 |          0 |          6 |         13 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\DTOs\Users\CreateUserDto.cs                                                                  | C#         |         14 |          0 |          3 |         17 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Interfaces\IAdService.cs                                                                     | C#         |          9 |          0 |          3 |         12 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Interfaces\ICategoryService.cs                                                               | C#         |          7 |          9 |          2 |         18 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Interfaces\IImageService.cs                                                                  | C#         |         17 |         19 |          5 |         41 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Interfaces\ILocationService.cs                                                               | C#         |          8 |          9 |          3 |         20 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\AdDtoMapper.cs                                                                       | C#         |         75 |          7 |          9 |         91 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Electronics\ComputerAdDtoMapper.cs                                                   | C#         |        167 |          0 |          8 |        175 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Electronics\ElectronicAdDtoMapper.cs                                                 | C#         |        112 |          0 |          8 |        120 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Electronics\HandheldDeviceAdDtoMapper.cs                                             | C#         |        234 |          0 |          8 |        242 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Electronics\LaptopAdDtoMapper.cs                                                     | C#         |        244 |          0 |          8 |        252 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Electronics\TvMonitorAdDtoMapper.cs                                                  | C#         |        175 |          0 |          8 |        183 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Electronics\VideoConsoleAdDtoMapper.cs                                               | C#         |        139 |          0 |          8 |        147 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Miscellaneous\BookAdDtoMapper.cs                                                     | C#         |        130 |          8 |         11 |        149 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Miscellaneous\ClothAdDtoMapper.cs                                                    | C#         |        122 |          4 |          8 |        134 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Miscellaneous\EngineOilAdDtoMapper.cs                                                | C#         |        122 |          0 |          8 |        130 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Miscellaneous\FurnitureAdDtoMapper.cs                                                | C#         |        131 |          0 |          8 |        139 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Miscellaneous\PlantAdDtoMapper.cs                                                    | C#         |        113 |          0 |          8 |        121 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Miscellaneous\ShoeAdDtoMapper.cs                                                     | C#         |        112 |          0 |          8 |        120 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Miscellaneous\TireWheelAdDtoMapper.cs                                                | C#         |        121 |          0 |          8 |        129 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Miscellaneous\VideoGameAdDtoMapper.cs                                                | C#         |        113 |          4 |          8 |        125 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\RealEstate\ApartmentAdDtoMapper.cs                                                   | C#         |        148 |          0 |          8 |        156 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\RealEstate\ConstructionProjectAdDtoMapper.cs                                         | C#         |        112 |          0 |          8 |        120 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\RealEstate\HouseAdDtoMapper.cs                                                       | C#         |        148 |          0 |          8 |        156 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\RealEstate\RealEstateAdDtoMapper.cs                                                  | C#         |        103 |          0 |          8 |        111 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\BoatAdDtoMapper.cs                                                          | C#         |         93 |          1 |          8 |        102 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\CarAdDtoMapper.cs                                                           | C#         |        212 |          1 |          9 |        222 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\HeavyEquipment\BulldozerAdDtoMapper.cs                                      | C#         |        103 |          1 |          8 |        112 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\HeavyEquipment\BusAdDtoMapper.cs                                            | C#         |         86 |          1 |          8 |         95 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\HeavyEquipment\CraneAdDtoMapper.cs                                          | C#         |         99 |          1 |          8 |        108 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\HeavyEquipment\ExcavatorAdDtoMapper.cs                                      | C#         |         91 |          1 |          8 |        100 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\HeavyEquipment\HeavyEquipmentAdDtoMapper.cs                                 | C#         |        138 |          1 |          9 |        148 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\MotorcycleAdDtoMapper.cs                                                    | C#         |        168 |          1 |          9 |        178 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\TransportAdDtoMapper.cs                                                     | C#         |        138 |          1 |          9 |        148 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Mappers\Vehicles\TruckAdDtoMapper.cs                                                         | C#         |        128 |          1 |          9 |        138 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Services\AdService.cs                                                                        | C#         |        449 |         31 |         45 |        525 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Services\CategoryDtoMapper.cs                                                                | C#         |        273 |          9 |         24 |        306 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\AdDtoValidator.cs                                                             | C#         |        120 |         24 |         27 |        171 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Electronics\ComputerAdDtoValidator.cs                                         | C#         |         77 |          1 |         15 |         93 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Electronics\ElectronicAdDtoValidator.cs                                       | C#         |         38 |          1 |          8 |         47 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Electronics\HandheldDeviceAdDtoValidator.cs                                   | C#         |        142 |          1 |         27 |        170 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Electronics\LaptopAdDtoValidator.cs                                           | C#         |        158 |          1 |         30 |        189 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Electronics\TvMonitorAdDtoValidator.cs                                        | C#         |         77 |          1 |         15 |         93 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Electronics\VideoConsoleAdDtoValidator.cs                                     | C#         |         51 |          1 |         10 |         62 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Jobs\CvAdDtoValidator.cs                                                      | C#         |         59 |         17 |         12 |         88 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Jobs\ServiceAdDtoValidator.cs                                                 | C#         |         26 |          4 |          6 |         36 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Jobs\VacancyAdDtoValidator.cs                                                 | C#         |         27 |          6 |          9 |         42 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\BookAdDtoValidator.cs                                           | C#         |         40 |          6 |          9 |         55 |
| c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Miscellaneous\ClothAdDtoValidator.cs                                          | C#         |         55 |          0 |         11 |         66 |
